"Plot Title: HOBO 1A Chamber 1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561439, SEN S/N: 10561439)","RH, % (LGR S/N: 10561439, SEN S/N: 10561439)","DewPt, °C (LGR S/N: 10561439, SEN S/N: 10561439)","Button Down (LGR S/N: 10561439, SEN S/N: 10561439)","Button Up (LGR S/N: 10561439, SEN S/N: 10561439)","Stopped (LGR S/N: 10561439, SEN S/N: 10561439)","End Of File (LGR S/N: 10561439, SEN S/N: 10561439)"
329,07/21/2014 01:58:00 PM,22.565,69.040,16.622,,,,
330,07/21/2014 01:59:00 PM,22.565,69.040,16.622,,,,
331,07/21/2014 02:00:00 PM,22.565,68.921,16.595,,,,
332,07/21/2014 02:01:00 PM,22.565,69.040,16.622,,,,
333,07/21/2014 02:02:00 PM,22.541,69.154,16.625,,,,
334,07/21/2014 02:03:00 PM,22.541,69.273,16.652,,,,
335,07/21/2014 02:04:00 PM,22.541,69.480,16.699,,,,
336,07/21/2014 02:05:00 PM,22.541,69.184,16.632,,,,
337,07/21/2014 02:06:00 PM,22.541,69.154,16.625,,,,
338,07/21/2014 02:07:00 PM,22.541,69.509,16.706,,,,
339,07/21/2014 02:08:00 PM,22.565,69.336,16.689,,,,
340,07/21/2014 02:09:00 PM,22.565,69.188,16.655,,,,
341,07/21/2014 02:10:00 PM,22.589,69.400,16.727,,,,
342,07/21/2014 02:11:00 PM,22.589,69.400,16.727,,,,
343,07/21/2014 02:12:00 PM,22.589,69.311,16.706,,,,
344,07/21/2014 02:13:00 PM,22.589,69.074,16.652,,,,
345,07/21/2014 02:14:00 PM,22.613,69.137,16.690,,,,
346,07/21/2014 02:15:00 PM,22.589,69.222,16.686,,,,
347,07/21/2014 02:16:00 PM,22.589,69.222,16.686,,,,
348,07/21/2014 02:17:00 PM,22.589,69.252,16.693,,,,
349,07/21/2014 02:18:00 PM,22.613,69.167,16.697,,,,
350,07/21/2014 02:19:00 PM,22.613,69.286,16.724,,,,
351,07/21/2014 02:20:00 PM,22.613,69.019,16.663,,,,
